t;max_slip_rate;moment_rate
0.47325127446132E+02;0.5503345E-01;0.1088710E+20
0.47359199963969E+02;0.5515062E-01;0.1090990E+20
0.47393410674940E+02;0.5598210E-01;0.1093126E+20
0.47427864600716E+02;0.5651492E-01;0.1095118E+20
0.47461674940766E+02;0.5743095E-01;0.1096965E+20
0.47495585709483E+02;0.5764216E-01;0.1098739E+20
0.47529412338165E+02;0.5782930E-01;0.1100412E+20
0.47563311794877E+02;0.5852877E-01;0.1101966E+20
0.47597402294933E+02;0.5862622E-01;0.1103415E+20
0.47630962959076E+02;0.5994517E-01;0.1104766E+20
0.47664519717886E+02;0.6032024E-01;0.1106083E+20
0.47698078251484E+02;0.6050266E-01;0.1107393E+20
0.47731642723752E+02;0.6099074E-01;0.1108671E+20
0.47765456698290E+02;0.6122480E-01;0.1109865E+20
0.47799011745295E+02;0.6193908E-01;0.1110934E+20
0.47832333143542E+02;0.6287490E-01;0.1111931E+20
0.47865620096293E+02;0.6308855E-01;0.1112917E+20
0.47898924054841E+02;0.6338133E-01;0.1113891E+20
0.47932391695661E+02;0.6360026E-01;0.1114822E+20
0.47965886729613E+02;0.6328431E-01;0.1115686E+20
0.47998944188251E+02;0.6510959E-01;0.1116464E+20
0.48032015956604E+02;0.6550115E-01;0.1117168E+20
0.48065103372611E+02;0.6568450E-01;0.1117809E+20
0.48098295303087E+02;0.6580731E-01;0.1118386E+20
0.48131727478773E+02;0.6517299E-01;0.1118890E+20
0.48164853874932E+02;0.6689305E-01;0.1119327E+20
0.48197708419160E+02;0.6764792E-01;0.1119742E+20
0.48230626332213E+02;0.6785545E-01;0.1120163E+20
0.48263596168953E+02;0.6787538E-01;0.1120562E+20
0.48296549437019E+02;0.6734735E-01;0.1120890E+20
0.48329411254061E+02;0.6779195E-01;0.1121136E+20
0.48362024878771E+02;0.6977553E-01;0.1121355E+20
0.48394818529503E+02;0.6982853E-01;0.1121608E+20
0.48427720471557E+02;0.6979255E-01;0.1121904E+20
0.48460506285902E+02;0.6954312E-01;0.1122202E+20
0.48493204636373E+02;0.6937191E-01;0.1122445E+20
0.48526129817254E+02;0.7127028E-01;0.1122615E+20
0.48558570716065E+02;0.7194851E-01;0.1122740E+20
0.48591319586596E+02;0.7202127E-01;0.1122877E+20
0.48624046381839E+02;0.7205846E-01;0.1123046E+20
0.48656606846366E+02;0.7184468E-01;0.1123219E+20
0.48689200969885E+02;0.7197859E-01;0.1123370E+20
0.48721420083749E+02;0.7391016E-01;0.1123493E+20
0.48753765685427E+02;0.7411840E-01;0.1123606E+20
0.48786185348021E+02;0.7414104E-01;0.1123721E+20
0.48818593726865E+02;0.7425230E-01;0.1123823E+20
0.48850991023651E+02;0.7398088E-01;0.1123896E+20
0.48883513830388E+02;0.7502499E-01;0.1123958E+20
0.48915609808386E+02;0.7600270E-01;0.1124049E+20
0.48947670918372E+02;0.7605382E-01;0.1124170E+20
0.48979839917230E+02;0.7612379E-01;0.1124279E+20
0.49012287086483E+02;0.7634252E-01;0.1124336E+20
0.49044444737060E+02;0.7596954E-01;0.1124328E+20
